user,date,text,favorite_count,busqueda
shortvolumes,Sat Oct 17 11:18:01 +0000 2020,Short sale vol (not short interest) for $SAN on 2020-10-16 is 48%. https://t.co/ng9JXdFIv4 $BSAC 78% $BSMX 71% $BBVA 39% $ITUB 72%,0,bbva
CTMfile,Sat Oct 17 11:05:39 +0000 2020,RT @CTMfile: Industry roundup: 16 October: #SWIFTgpi #BusinessBanking #TradeFinance @bbva @DeutscheBank @network_polo #BBVA #DeutscheBank #…,0,bbva
angeldelmu,Sat Oct 17 10:19:56 +0000 2020,"RT @pacsta11: Top story: Hackathon BBVA 2020 - Live https://t.co/Ixh8ZGu3mz, see more https://t.co/YzHWBJmhXU",0,bbva
pacsta11,Sat Oct 17 10:17:00 +0000 2020,"Top story: Hackathon BBVA 2020 - Live https://t.co/Ixh8ZGu3mz, see more https://t.co/YzHWBJmhXU",1,bbva
bbvaedufin,Sat Oct 17 10:00:17 +0000 2020,📔 New study selected by #BBVAEduFin 👉🏼It’s Time to Tie Bank Profits to Customers’ Financial Health by… https://t.co/YjUFVzZ3I8,1,bbva
alvaroortiz1968,Sat Oct 17 09:33:15 +0000 2020,Turkey´s GDP : Going and going ... Turkey´s CBRT Survey of Expectations (the most reliable) upgrade again GDP expec… https://t.co/mmKm01kfEn,12,bbva
BenotGaudet1,Sat Oct 17 09:18:14 +0000 2020,"RT @abhibheem: #Cashaa is one of #KPMG top 50 emerging fintech company
top 3 finalists if #bbva open talent
Top 3 finalists #Maltablockchai…",0,bbva
BBVAInnovation,Sat Oct 17 08:28:13 +0000 2020,RT @Finextra: Company announcement: Almost 800 coders will compete in BBVA 2020 hackathon https://t.co/qLJZKfy2bj #fintech,0,bbva
jimenayolanda,Sat Oct 17 08:03:59 +0000 2020,"RT @BBVAPrensa: 🔈 The #HackathonBBVA 2020 has attracted a total of 3,544 candidates so far, of which 792 made the final cut. From Oct.16-18…",0,bbva
MirandaMish,Sat Oct 17 07:40:56 +0000 2020,@Soyfurrr Bancomer @BBVA_Mex,0,bbva
